radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,created_dt,updated_dt,network_type,provider,governorate,district,elevation_m
GSM,415,1,6100,6403,0,35.8234,33.7461,13744,92,1,1458558155,1726311247,0,2016-03-21 11:02:35+00:00,2024-09-14 10:54:07+00:00,2G,Alfa,Bekaa,Zahle,889
GSM,415,1,6100,6141,0,35.7939,33.705,9584,103,1,1458558155,1723380002,0,2016-03-21 11:02:35+00:00,2024-08-11 12:40:02+00:00,2G,Alfa,Bekaa,West Bekaa,895
GSM,415,1,6125,212,0,35.5282,33.866,1000,31,1,1458558158,1723647485,0,2016-03-21 11:02:38+00:00,2024-08-14 14:58:05+00:00,2G,Alfa,Mount Lebanon,Baabda,52
GSM,415,1,6125,1279,0,35.5351,33.8623,1014,8,1,1432109568,1723647485,0,2015-05-20 08:12:48+00:00,2024-08-14 14:58:05+00:00,2G,Alfa,Mount Lebanon,Baabda,51
GSM,415,1,6172,6285,0,35.7978,34.3958,5294,49,1,1458558167,1737013082,0,2016-03-21 11:02:47+00:00,2025-01-16 07:38:02+00:00,2G,Alfa,North,Tripoli,33
GSM,415,1,6125,4158,0,35.534,33.8569,1000,63,1,1458558160,1724045163,0,2016-03-21 11:02:40+00:00,2024-08-19 05:26:03+00:00,2G,Alfa,Mount Lebanon,Baabda,84
GSM,415,1,6172,6848,0,35.6817,34.2718,1873,29,1,1458558168,1727703846,0,2016-03-21 11:02:48+00:00,2024-09-30 13:44:06+00:00,2G,Alfa,North,El Batroun,51
GSM,415,1,6125,2917,0,35.5306,33.8639,1000,19,1,1442028099,1723647485,0,2015-09-12 03:21:39+00:00,2024-08-14 14:58:05+00:00,2G,Alfa,Mount Lebanon,Baabda,49
GSM,415,1,6125,4156,0,35.5382,33.8604,9118,44,1,1458558160,1724045163,0,2016-03-21 11:02:40+00:00,2024-08-19 05:26:03+00:00,2G,Alfa,Mount Lebanon,Baabda,64
GSM,415,1,6172,6744,0,35.8082,34.4024,3809,42,1,1458558168,1737013021,0,2016-03-21 11:02:48+00:00,2025-01-16 07:37:01+00:00,2G,Alfa,North,El Koura,52
GSM,415,3,610,1721,0,35.5909,33.9394,967,26,1,1458558176,1727460485,0,2016-03-21 11:02:56+00:00,2024-09-27 18:08:05+00:00,2G,Touch,Mount Lebanon,El Meten,31
GSM,415,3,610,3704,0,35.5814,33.913,2262,9,1,1458558176,1737484622,0,2016-03-21 11:02:56+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,28
GSM,415,3,610,1722,0,35.5904,33.9339,944,50,1,1458558176,1727460485,0,2016-03-21 11:02:56+00:00,2024-09-27 18:08:05+00:00,2G,Touch,Mount Lebanon,El Meten,32
GSM,415,3,610,3412,0,35.6161,33.9239,6049,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,344
GSM,415,3,610,4533,0,35.5985,33.9415,1262,50,1,1458558176,1727460184,0,2016-03-21 11:02:56+00:00,2024-09-27 18:03:04+00:00,2G,Touch,Mount Lebanon,El Meten,102
GSM,415,3,610,3613,0,35.5859,33.9203,1131,23,1,1458558176,1727460486,0,2016-03-21 11:02:56+00:00,2024-09-27 18:08:06+00:00,2G,Touch,Mount Lebanon,El Meten,33
GSM,415,3,610,3334,0,35.588,33.9147,706,43,1,1458558176,1737484622,0,2016-03-21 11:02:56+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,35
GSM,415,3,610,1042,0,35.582,33.911,1000,23,1,1458558176,1737484622,0,2016-03-21 11:02:56+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,35
GSM,415,3,610,3401,0,35.6003,33.9167,564,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,164
GSM,415,3,610,4432,0,35.5855,33.915,1238,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,34
GSM,415,3,602,1054,0,35.5448,33.8837,818,50,1,1458558173,1751919365,0,2016-03-21 11:02:53+00:00,2025-07-07 20:16:05+00:00,2G,Touch,Mount Lebanon,El Meten,33
GSM,415,3,610,3333,0,35.5906,33.9168,1000,13,1,1457719910,1727694066,0,2016-03-11 18:11:50+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,53
GSM,415,3,610,3331,0,35.5892,33.9223,579,50,1,1458558176,1727460486,0,2016-03-21 11:02:56+00:00,2024-09-27 18:08:06+00:00,2G,Touch,Mount Lebanon,El Meten,42
GSM,415,3,610,1043,0,35.5768,33.9069,706,50,1,1458558176,1737484622,0,2016-03-21 11:02:56+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,31
GSM,415,3,610,3403,0,35.5877,33.9261,1528,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,33
GSM,415,3,610,3611,0,35.5874,33.927,972,50,1,1458558176,1727460485,0,2016-03-21 11:02:56+00:00,2024-09-27 18:08:05+00:00,2G,Touch,Mount Lebanon,El Meten,34
GSM,415,3,610,2212,0,35.6644,33.9222,1050,50,1,1458558176,1727694067,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:07+00:00,2G,Touch,Mount Lebanon,El Meten,738
GSM,415,3,610,3402,0,35.5925,33.9174,620,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,60
GSM,415,3,610,3231,0,35.6272,33.9281,500,50,1,1458558176,1727694066,0,2016-03-21 11:02:56+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,413
GSM,415,3,610,3513,0,35.572,33.9017,566,50,1,1458558176,1737484622,0,2016-03-21 11:02:56+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,36
GSM,415,3,610,4543,0,35.6042,33.92,781,50,1,1458051391,1727694066,0,2016-03-15 14:16:31+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,240
LTE,415,3,101,2020870,0,35.4946,33.8735,1318,6,1,1458593315,1761635882,0,2016-03-21 20:48:35+00:00,2025-10-28 07:18:02+00:00,4G,Touch,Beirut,Beirut,79
LTE,415,3,111,1895175,0,35.5355,33.8548,500,28,1,1458593316,1751919366,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Mount Lebanon,Baabda,104
LTE,415,3,803,1794312,0,35.5473,33.8957,1586,21,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,29
LTE,415,3,803,1888776,0,35.5447,33.8878,500,34,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Mount Lebanon,El Meten,42
LTE,415,3,803,1825031,0,35.5421,33.8883,551,28,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Mount Lebanon,El Meten,37
LTE,415,3,804,1820678,0,35.593,33.9506,577,30,1,1458593317,1751919369,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:09+00:00,4G,Touch,Mount Lebanon,El Meten,37
LTE,415,3,803,1823239,0,35.5625,33.8968,5249,22,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,28
LTE,415,3,111,1795590,0,35.5371,33.8705,1000,10,1,1458593316,1751919365,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:05+00:00,4G,Touch,Mount Lebanon,El Meten,85
LTE,415,3,111,1798150,0,35.5298,33.8756,1000,17,1,1458593316,1751919366,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Mount Lebanon,El Meten,35
LTE,415,3,111,1897734,0,35.5313,33.8757,1000,12,1,1458593316,1738359782,0,2016-03-21 20:48:36+00:00,2025-01-31 21:43:02+00:00,4G,Touch,Mount Lebanon,El Meten,41
LTE,415,3,122,1795080,0,35.4951,33.874,500,50,1,1458593316,1751919370,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:10+00:00,4G,Touch,Beirut,Beirut,81
LTE,415,3,802,1819654,0,35.5163,33.8922,1176,11,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,89
LTE,415,3,802,1795336,0,35.5204,33.8869,1000,16,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Beirut,Beirut,125
LTE,415,3,802,1896968,0,35.5141,33.8932,1000,13,1,1458593317,1725390182,0,2016-03-21 20:48:37+00:00,2024-09-03 19:03:02+00:00,4G,Touch,Beirut,Beirut,93
LTE,415,3,803,1878792,0,35.5374,33.8972,553,33,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,28
LTE,415,3,804,1820680,0,35.5939,33.9451,1000,23,1,1458593317,1751919363,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:03+00:00,4G,Touch,Mount Lebanon,El Meten,44
LTE,415,3,102,1871366,0,35.513,33.8507,1000,11,1,1458593315,1761397745,0,2016-03-21 20:48:35+00:00,2025-10-25 13:09:05+00:00,4G,Touch,Mount Lebanon,Baabda,68
LTE,415,3,802,1819656,0,35.5148,33.8921,1000,21,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,94
LTE,415,3,803,1880328,0,35.5571,33.8949,673,31,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,37
LTE,415,3,803,1794310,0,35.5507,33.8938,1000,19,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,30
LTE,415,3,803,1878790,0,35.5433,33.8977,7475,33,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,27
LTE,415,3,132,1869574,0,35.539,33.8515,1000,14,1,1458593316,1751919366,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Mount Lebanon,Baabda,143
LTE,415,3,802,1795334,0,35.5225,33.8879,1000,8,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Beirut,Beirut,126
LTE,415,3,802,1795335,0,35.5224,33.8854,1000,7,1,1458593317,1751919366,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Beirut,Beirut,121
LTE,415,3,802,1838086,0,35.5266,33.8887,1919,13,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Beirut,Beirut,91
LTE,415,3,802,1884166,0,35.5325,33.8901,1000,18,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Beirut,Beirut,34
LTE,415,3,803,1821448,0,35.5707,33.8963,1046,29,1,1458593317,1751919365,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:05+00:00,4G,Touch,Mount Lebanon,El Meten,45
LTE,415,3,803,1880326,0,35.5625,33.8961,500,36,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,31
LTE,415,3,804,1820679,0,35.5939,33.9487,1000,21,1,1458593317,1755372361,0,2016-03-21 20:48:37+00:00,2025-08-16 19:26:01+00:00,4G,Touch,Mount Lebanon,El Meten,44
LTE,415,3,132,1869575,0,35.5421,33.8501,500,33,1,1458593316,1751919366,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Mount Lebanon,Baabda,162
LTE,415,3,802,1800711,0,35.5292,33.899,500,50,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,39
LTE,415,3,803,1819143,0,35.5317,33.8838,758,25,1,1458593317,1751919366,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:06+00:00,4G,Touch,Mount Lebanon,El Meten,35
LTE,415,3,803,1837574,0,35.5251,33.8879,1000,5,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Beirut,Beirut,101
LTE,415,3,132,1869831,0,35.548,33.8495,1000,12,1,1458593316,1751919361,0,2016-03-21 20:48:36+00:00,2025-07-07 20:16:01+00:00,4G,Touch,Mount Lebanon,Baabda,210
LTE,415,3,802,1800713,0,35.5249,33.8992,500,50,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,40
LTE,415,3,802,1833222,0,35.5191,33.8965,1000,15,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Beirut,Beirut,38
LTE,415,3,803,1888774,0,35.5488,33.8863,1000,16,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Mount Lebanon,El Meten,36
LTE,415,3,803,1823238,0,35.5678,33.8987,500,36,1,1458593317,1755264542,0,2016-03-21 20:48:37+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,35
LTE,415,3,803,1878791,0,35.5352,33.8927,596,50,1,1458593317,1751919367,0,2016-03-21 20:48:37+00:00,2025-07-07 20:16:07+00:00,4G,Touch,Mount Lebanon,El Meten,26
GSM,415,3,610,16013,0,35.6564,33.919,1212,9,1,1458619891,1727694067,0,2016-03-22 04:11:31+00:00,2024-09-30 11:01:07+00:00,2G,Touch,Mount Lebanon,El Meten,709
GSM,415,3,610,9643,0,35.6214,33.9272,1245,39,1,1458619890,1727694066,0,2016-03-22 04:11:30+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,371
GSM,415,3,612,16124,0,35.6646,34.2454,1844,28,1,1443410167,1727703965,0,2015-09-28 03:16:07+00:00,2024-09-30 13:46:05+00:00,2G,Touch,North,El Batroun,58
GSM,415,3,610,12903,0,35.5859,33.9187,2393,28,1,1458619891,1737484622,0,2016-03-22 04:11:31+00:00,2025-01-21 18:37:02+00:00,2G,Touch,Mount Lebanon,El Meten,33
GSM,415,3,610,13463,0,35.6094,33.9257,3054,22,1,1458619891,1727694066,0,2016-03-22 04:11:31+00:00,2024-09-30 11:01:06+00:00,2G,Touch,Mount Lebanon,El Meten,225
GSM,415,3,703,4703,0,36.0113,33.8665,8561,35,1,1458619896,1768074422,0,2016-03-22 04:11:36+00:00,2026-01-10 19:47:02+00:00,2G,Touch,Bekaa,Zahle,956
GSM,415,3,703,6421,0,36.0391,33.8705,9141,11,1,1458619896,1768074422,0,2016-03-22 04:11:36+00:00,2026-01-10 19:47:02+00:00,2G,Touch,Bekaa,Zahle,990
GSM,415,3,703,6104,0,36.0358,33.8746,4070,5,1,1458619896,1768074421,0,2016-03-22 04:11:36+00:00,2026-01-10 19:47:01+00:00,2G,Touch,Bekaa,Zahle,984
LTE,415,3,113,1879048,0,35.5917,33.9187,1156,15,1,1487737216,1755264542,0,2017-02-22 04:20:16+00:00,2025-08-15 13:29:02+00:00,4G,Touch,Mount Lebanon,El Meten,50
UMTS,415,1,3106,403617,127,35.5096,33.8936,1000,11,1,1447107108,1727248143,0,2015-11-09 22:11:48+00:00,2024-09-25 07:09:03+00:00,3G,Alfa,Beirut,Beirut,59
UMTS,415,1,3106,409807,128,35.5352,33.8886,1892,14,1,1435111223,1727249342,0,2015-06-24 02:00:23+00:00,2024-09-25 07:29:02+00:00,3G,Alfa,Mount Lebanon,El Meten,42
UMTS,415,1,3106,403619,188,35.5046,33.8928,1000,18,1,1447107111,1727248143,0,2015-11-09 22:11:51+00:00,2024-09-25 07:09:03+00:00,3G,Alfa,Beirut,Beirut,55
UMTS,415,1,3106,405519,437,35.5394,33.8982,3618,33,1,1458839824,1727248144,0,2016-03-24 17:17:04+00:00,2024-09-25 07:09:04+00:00,3G,Alfa,Mount Lebanon,El Meten,28
UMTS,415,1,3106,410619,186,35.5736,33.9049,1000,17,1,1458839827,1725390182,0,2016-03-24 17:17:07+00:00,2024-09-03 19:03:02+00:00,3G,Alfa,Mount Lebanon,El Meten,28
UMTS,415,1,5102,377771,49,35.8663,33.8126,4023,55,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,935
UMTS,415,1,5102,378511,2,35.8139,33.6376,3012,105,1,1458839835,1723729625,0,2016-03-24 17:17:15+00:00,2024-08-15 13:47:05+00:00,3G,Alfa,Bekaa,West Bekaa,920
UMTS,415,1,5102,383513,18,35.7582,33.6829,2131,50,1,1458839835,1727251864,0,2016-03-24 17:17:15+00:00,2024-09-25 08:11:04+00:00,3G,Alfa,Bekaa,West Bekaa,938
UMTS,415,1,5102,382832,169,35.9042,33.8226,3785,57,1,1445074848,1726309205,0,2015-10-17 09:40:48+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,919
UMTS,415,1,5102,383031,353,35.8811,33.8151,3300,41,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,913
UMTS,415,1,5102,383603,473,35.8251,33.8111,1000,15,1,1445074848,1727251084,0,2015-10-17 09:40:48+00:00,2024-09-25 07:58:04+00:00,3G,Alfa,Bekaa,Zahle,1069
UMTS,415,1,5102,382771,49,35.8636,33.8083,7266,11,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,929
UMTS,415,1,5102,378513,18,35.7834,33.7262,6556,170,1,1458839835,1723194366,0,2016-03-24 17:17:15+00:00,2024-08-09 09:06:06+00:00,3G,Alfa,Bekaa,West Bekaa,891
UMTS,415,1,5102,383082,9,35.8151,33.7816,2858,20,1,1458839835,1722934331,0,2016-03-24 17:17:15+00:00,2024-08-06 08:52:11+00:00,3G,Alfa,Bekaa,Zahle,914
UMTS,415,1,5102,383033,369,35.8703,33.8197,1000,10,1,1458839835,1722868924,0,2016-03-24 17:17:15+00:00,2024-08-05 14:42:04+00:00,3G,Alfa,Bekaa,Zahle,947
UMTS,415,3,901,19747270,312,35.5169,33.8899,1000,6,1,1442633655,1751919364,0,2015-09-19 03:34:15+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,104
UMTS,415,3,901,19747424,326,35.515,33.8923,1000,4,1,1458839838,1751919364,0,2016-03-24 17:17:18+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,92
UMTS,415,1,5102,377773,65,35.8335,33.8101,1046,50,1,1458839835,1727251085,0,2016-03-24 17:17:15+00:00,2024-09-25 07:58:05+00:00,3G,Alfa,Bekaa,Zahle,960
UMTS,415,1,5102,383473,180,35.7914,33.7397,2868,50,1,1458839835,1727251324,0,2016-03-24 17:17:15+00:00,2024-09-25 08:02:04+00:00,3G,Alfa,Bekaa,West Bekaa,890
UMTS,415,1,5102,382743,151,35.8885,33.7717,1000,40,1,1424230918,1726301524,0,2015-02-18 03:41:58+00:00,2024-09-14 08:12:04+00:00,3G,Alfa,Bekaa,West Bekaa,900
UMTS,415,3,901,19747267,369,35.5188,33.8885,1000,5,1,1458839838,1751919364,0,2016-03-24 17:17:18+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,113
UMTS,415,1,5102,383032,361,35.8678,33.818,1000,35,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,942
UMTS,415,1,5102,377833,39,35.8916,33.8252,1000,14,1,1452760080,1726309205,0,2016-01-14 08:28:00+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,931
UMTS,415,1,5102,383602,465,35.8279,33.8014,3624,16,1,1458839835,1727251085,0,2016-03-24 17:17:15+00:00,2024-09-25 07:58:05+00:00,3G,Alfa,Bekaa,Zahle,956
UMTS,415,1,5102,378033,369,35.8773,33.8129,3726,16,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,918
UMTS,415,3,901,19746449,119,35.5082,33.8933,1000,14,1,1432570821,1751919364,0,2015-05-25 16:20:21+00:00,2025-07-07 20:16:04+00:00,3G,Touch,Beirut,Beirut,67
UMTS,415,1,5102,378032,361,35.8746,33.7969,2763,85,1,1458839835,1726309205,0,2016-03-24 17:17:15+00:00,2024-09-14 10:20:05+00:00,3G,Alfa,Bekaa,Zahle,900
UMTS,415,1,5102,383263,252,35.9035,33.7945,2058,55,1,1458839835,1723198630,0,2016-03-24 17:17:15+00:00,2024-08-09 10:17:10+00:00,3G,Alfa,Bekaa,Zahle,897
UMTS,415,1,5102,383512,10,35.7486,33.662,1701,46,1,1458839835,1727251864,0,2016-03-24 17:17:15+00:00,2024-09-25 08:11:04+00:00,3G,Alfa,Bekaa,West Bekaa,972
